newspaper,year,month,day,page,article,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__abomentions,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__nonabospeeches,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__misc,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__control,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__abomentions,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__nonabospeeches,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__misc,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__control,"bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__abomentions","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__nonabospeeches","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__misc","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__control","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__abomentions","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__nonabospeeches","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__misc","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__control"
ANJO,1846,09,02,0004,030,0.159651,65.771182,0.004228,34.064939,99.882362,0.050828,0.066771,0.000039,1.487782,98.498453,0.000000,0.013765,0.324335,0.155225,0.034079,99.486361
ANJO,1846,09,23,0003,011,0.178781,40.952279,0.001312,58.867629,95.174281,3.941366,0.000001,0.884351,0.082616,99.818822,0.000000,0.098561,0.004239,0.001257,0.000005,99.994499
ANJO,1846,10,07,0003,014,25.910871,70.440785,3.566058,0.082286,0.266916,99.653679,0.000000,0.079405,0.271380,99.728619,0.000000,0.000001,84.806116,14.066071,0.001515,1.126298
ANJO,1846,10,07,0002,003,33.384536,65.586829,0.739012,0.289622,1.669624,98.269808,0.000000,0.060568,51.800510,48.199092,0.000000,0.000397,56.359872,15.257991,0.002713,28.379423
ANJO,1846,10,21,0003,008,0.020849,43.340679,0.000235,56.638238,54.530770,44.529068,0.000000,0.940162,0.220686,3.985544,0.000000,95.793770,0.000822,0.005403,0.000000,99.993775
ANJO,1846,12,30,0004,027,99.802238,0.182823,0.014937,0.000002,0.212619,99.786798,0.000000,0.000583,26.922636,73.077364,0.000000,0.000000,71.774055,28.222961,0.002219,0.000766
ANJO,1847,01,27,0003,010,0.016819,48.463176,0.000129,51.519876,55.446082,44.549957,0.000000,0.003960,0.000379,99.920843,0.000000,0.078778,0.014147,0.342621,0.000002,99.643230
ANJO,1847,03,10,0007,033,74.091577,25.090194,0.796993,0.021235,0.021523,41.186994,0.000000,58.791483,0.072049,98.226570,0.000000,1.701381,0.011275,0.725712,0.000103,99.262911
ANJO,1847,03,17,0007,035,91.159295,7.718036,1.092579,0.030090,0.023571,78.505455,0.000000,21.470974,0.025623,96.608831,0.000000,3.365545,0.000787,0.022265,0.000000,99.976948
ANJO,1847,04,07,0007,029,57.322984,41.287827,1.317213,0.071976,0.023571,78.505455,0.000000,21.470974,0.104719,96.567146,0.000000,3.328135,0.000514,0.012957,0.000000,99.986529
ANJO,1847,04,21,0007,032,77.887459,21.288182,0.039244,0.785115,0.001106,19.319603,0.000000,80.679292,0.003102,69.934664,0.000000,30.062234,0.000057,0.009948,0.000000,99.989994
ANJO,1847,05,19,0004,011,52.201922,46.088074,0.713540,0.996463,0.001942,96.904377,0.000000,3.093681,0.093810,2.635319,0.000000,97.270870,0.000037,0.002525,0.000000,99.997438
ANJO,1847,05,19,0007,031,52.245093,29.110376,0.384702,18.259829,0.023571,78.505455,0.000000,21.470974,0.117171,6.261311,0.000000,93.621518,0.002843,0.191853,0.000002,99.805303
